Transaction,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Discount_Percentage,Season,Promotion,Channel
100000514,18/05/20 21:19,William Rowe,"Paper Towels, Shaving Cream, Mustard, Dish Soap",4,38.98,Credit Card,San Francisco,15,Winter,None,Warehouse
100000515,23/05/21 7:26,Jamie Edwards,Olive Oil,1,67.84,UPI,New York,5,Summer,BOGO (Buy One Get One),Warehouse
100000516,16/09/20 3:59,Jessica Nunez,"Mustard, Toothpaste, Bread",3,51.58,Debit Card,Chicago,30,Spring,Discount on Selected Items,Warehouse
100000517,25/09/23 3:53,William Harris,"Ketchup, Hair Gel, Shampoo, Dish Soap",4,110.12,Debit Card,Boston,0,Autumn,Discount on Selected Items,Warehouse
100000518,16/11/25 13:30,Chelsea Bentley,"Honey, Garden Hose",2,100.93,Mobile Payment,Los Angeles,5,Autumn,BOGO (Buy One Get One),Warehouse
100000519,03/04/25 19:26,Annette Taylor,"Paper Towels, Chicken, Light Bulbs",3,71.14,Credit Card,Boston,20,Summer,BOGO (Buy One Get One),Warehouse
100000520,08/07/25 7:29,Elizabeth Black,"Dish Soap, Soda, Paper Towels, Hair Gel",4,85.45,Debit Card,New York,0,Autumn,BOGO (Buy One Get One),Warehouse
100000521,17/03/23 14:54,Teresa Hall,"Honey, Ketchup",2,70.24,Mobile Payment,Seattle,15,Summer,Discount on Selected Items,Warehouse
100000522,02/04/20 0:51,Heather Reynolds,"Shampoo, Salmon, Spinach",3,86.1,UPI,New York,5,Autumn,Discount on Selected Items,Warehouse
100000523,05/10/24 15:03,Kayla Pearson,Soda,1,60.13,Mobile Payment,New York,20,Spring,BOGO (Buy One Get One),Warehouse
100000524,22/03/22 15:31,Jordan Solis,"Honey, Shampoo",2,115.14,Credit Card,Miami,25,Autumn,None,Warehouse
100000525,10/09/20 2:56,Barbara Phillips,"Ketchup, Bread",2,84.27,Mobile Payment,Miami,5,Summer,None,Warehouse
100000526,08/07/25 19:06,Troy Gray,"Salmon, Spinach",2,46.62,Debit Card,New York,30,Autumn,Discount on Selected Items,Warehouse
100000527,03/08/23 22:28,Tonya Gibson,Chicken,1,10.79,Debit Card,Chicago,15,Autumn,None,Warehouse
100000528,27/12/23 12:32,Tina Tyler,Olive Oil,1,11.97,Mobile Payment,Boston,15,Summer,None,Warehouse
100000529,20/10/25 8:59,Lindsey Nguyen,"Mustard, Soda, Paper Towels",3,113.16,Credit Card,Los Angeles,15,Autumn,Discount on Selected Items,Warehouse
100000530,22/06/20 19:49,Charles Miller,Mustard,1,102.7,Credit Card,Seattle,0,Spring,None,Warehouse
100000531,26/08/24 4:23,Carol Barton,"Trash Bags, Shaving Cream",2,61.12,Mobile Payment,Seattle,30,Winter,BOGO (Buy One Get One),Warehouse
100000532,01/09/20 17:26,Daniel Smith,Hair Gel,1,89.15,Credit Card,Miami,15,Autumn,BOGO (Buy One Get One),Warehouse
100000533,14/03/23 12:00,Steven White,"Toothpaste, Chicken, Dish Soap, Mustard",4,12.27,Debit Card,Boston,0,Spring,Discount on Selected Items,Warehouse
100000534,16/09/24 15:47,Amber Boyd,"Paper Towels, Garden Hose",2,24.97,Credit Card,Houston,20,Autumn,None,Warehouse
100000535,11/02/22 3:05,Jennifer Martin,Spinach,1,55.69,Mobile Payment,Houston,30,Autumn,BOGO (Buy One Get One),Warehouse
100000536,02/04/25 6:30,Ms. Kathryn Cole,Mustard,1,32.19,UPI,Seattle,5,Autumn,BOGO (Buy One Get One),Warehouse
100000537,23/10/24 1:33,Christian Lloyd,"Dish Soap, Hair Gel",2,72.61,Mobile Payment,Houston,15,Autumn,BOGO (Buy One Get One),Warehouse
100000538,21/09/21 14:33,Donald Lawrence,Mustard,1,73.71,Mobile Payment,Chicago,30,Autumn,Discount on Selected Items,Warehouse
100000539,14/10/22 19:31,Amanda Grimes,"Mustard, Toothpaste, Bread",3,11.86,Debit Card,Los Angeles,25,Autumn,BOGO (Buy One Get One),Warehouse
100000540,27/09/24 6:40,Paul Rodriguez,"Trash Bags, Shaving Cream, Ketchup, Chicken",4,10.23,UPI,Boston,0,Winter,BOGO (Buy One Get One),Warehouse
100000541,19/12/25 17:56,William Norman,"Garden Hose, Paper Towels, Toothpaste",3,49.5,Mobile Payment,Los Angeles,0,Spring,Discount on Selected Items,Warehouse
100000542,05/09/22 7:25,Alicia Mitchell,Light Bulbs,1,99.7,Mobile Payment,Los Angeles,15,Summer,None,Warehouse
100000543,11/01/21 11:20,Matthew Ellis,"Salmon, Toothpaste, Ketchup",3,112.35,Mobile Payment,Boston,10,Winter,None,Warehouse
100000544,21/02/25 23:54,Tara Kelly,"Hair Gel, Vacuum Cleaner",2,69.58,Credit Card,New York,25,Winter,Discount on Selected Items,Warehouse
100000545,11/04/22 16:51,Michael Gallagher,"Mustard, Bread",2,31.58,UPI,San Francisco,10,Winter,None,Warehouse
100000546,27/01/26 3:40,Steven Thompson,"Olive Oil, Toothpaste, Chicken",3,96.81,UPI,New York,15,Summer,None,Warehouse
100000547,14/03/23 13:58,Kenneth Cruz,Paper Towels,1,96.84,Credit Card,Chicago,15,Winter,BOGO (Buy One Get One),Warehouse
100000548,09/06/20 10:20,Brittany Rose,"Hair Gel, Soda, Dish Soap",3,91.15,Mobile Payment,Seattle,25,Spring,None,Warehouse
100000549,23/01/25 6:55,Dan Yang,"Bread, Toothpaste, Ketchup",3,12.3,UPI,Seattle,25,Summer,BOGO (Buy One Get One),Warehouse
100000550,25/06/20 4:28,Andrew Wilkinson,"Ketchup, Salmon",2,50.78,Mobile Payment,Boston,25,Winter,BOGO (Buy One Get One),Warehouse
100000551,28/05/25 13:48,Howard Johnson,Mustard,1,104.5,UPI,Chicago,20,Spring,None,Warehouse
100000552,12/09/20 10:13,Larry Salazar,"Soda, Paper Towels, Trash Bags",3,115.57,Mobile Payment,Seattle,5,Spring,Discount on Selected Items,Warehouse
100000553,14/03/22 3:38,Kirsten Luna,"Trash Bags, Salmon, Garden Hose",3,87.28,Mobile Payment,Miami,5,Spring,BOGO (Buy One Get One),Warehouse
100000554,10/07/22 13:50,Ms. Emily Stevenson,"Shaving Cream, Shampoo, Bread, Olive Oil",4,38.64,Debit Card,New York,25,Winter,Discount on Selected Items,Warehouse
100000555,10/11/25 15:50,Brent Horton,"Paper Towels, Ketchup",2,27.05,Debit Card,Boston,30,Autumn,BOGO (Buy One Get One),Warehouse
100000556,03/05/24 12:10,Jessica Smith,"Shampoo, Honey, Paper Towels",3,76.46,Mobile Payment,Chicago,10,Winter,None,Warehouse
100000557,03/02/26 15:03,Andrea Moody,"Shampoo, Vacuum Cleaner, Soda, Spinach",4,27.08,Credit Card,Miami,25,Spring,None,Warehouse
100000558,29/04/24 0:15,Amber Franco,Olive Oil,1,47.45,Debit Card,Boston,20,Autumn,BOGO (Buy One Get One),Warehouse
100000559,09/08/21 9:51,Corey Massey,"Salmon, Ketchup, Trash Bags, Light Bulbs",4,92.75,Debit Card,Houston,25,Autumn,BOGO (Buy One Get One),Warehouse
100000560,14/02/22 7:24,David Wood,"Chicken, Honey",2,86.18,Mobile Payment,Houston,0,Summer,None,Warehouse
100000561,12/04/22 11:20,Brandon Jordan,"Vacuum Cleaner, Shampoo",2,96.12,Credit Card,Chicago,15,Autumn,None,Warehouse
100000562,01/08/22 2:08,Jessica Lee,"Honey, Paper Towels, Spinach, Shampoo",4,82.48,Mobile Payment,Los Angeles,25,Winter,None,Warehouse
100000563,01/09/21 7:14,John Porter,"Shaving Cream, Paper Towels, Mustard",3,103.27,Debit Card,Seattle,20,Summer,BOGO (Buy One Get One),Warehouse
100000564,25/10/24 9:44,David Mcfarland,"Toothpaste, Paper Towels, Chicken, Salmon",4,31.28,Debit Card,Boston,20,Summer,None,Warehouse
100000565,06/07/24 23:59,Anthony Edwards,"Garden Hose, Honey, Chicken",3,25.52,Debit Card,Miami,20,Spring,None,Warehouse
100000566,21/11/21 5:42,Anna Johnson,Hair Gel,1,53.88,Credit Card,San Francisco,20,Winter,None,Warehouse
100000567,24/08/20 22:30,Ryan Barrera,"Ketchup, Mustard, Garden Hose",3,75.09,Debit Card,Boston,20,Summer,Discount on Selected Items,Warehouse
100000568,19/12/20 2:34,James Jordan,"Olive Oil, Paper Towels, Bread, Soda",4,60.8,Credit Card,Houston,20,Summer,Discount on Selected Items,Warehouse
100000569,19/12/21 2:10,Kevin Aguilar,"Salmon, Mustard, Paper Towels",3,64.1,Credit Card,Chicago,25,Summer,None,Warehouse
100000570,19/05/24 14:49,Samuel Carroll,"Salmon, Light Bulbs, Olive Oil, Toothpaste",4,16.3,Mobile Payment,Houston,5,Spring,BOGO (Buy One Get One),Warehouse
100000571,27/08/20 8:51,Scott Brown,"Vacuum Cleaner, Spinach, Chicken",3,68.17,Mobile Payment,New York,20,Summer,Discount on Selected Items,Warehouse
100000572,05/07/20 8:25,Stephen Moon,"Shaving Cream, Light Bulbs",2,54.02,Credit Card,Seattle,30,Spring,Discount on Selected Items,Warehouse
100000573,16/11/25 4:15,Susan Choi,"Trash Bags, Light Bulbs",2,68.08,Credit Card,Chicago,0,Winter,None,Warehouse
100000574,04/10/20 9:29,Brianna Cunningham,"Light Bulbs, Mustard, Honey, Hair Gel",4,103.11,Credit Card,Chicago,10,Autumn,Discount on Selected Items,Warehouse
100000575,02/01/20 0:25,Ryan Shelton,"Light Bulbs, Spinach",2,41.06,UPI,Los Angeles,25,Spring,Discount on Selected Items,Warehouse
100000576,10/07/24 22:08,Tony Gutierrez,"Soda, Chicken",2,57.8,Debit Card,New York,30,Spring,None,Warehouse
100000577,19/02/24 18:53,Lisa Glass,"Ketchup, Mustard, Toothpaste, Honey",4,75.93,Debit Card,New York,30,Summer,None,Warehouse
100000578,30/03/21 1:11,Robert Brooks,"Light Bulbs, Ketchup",2,50.17,Mobile Payment,Boston,30,Winter,Discount on Selected Items,Warehouse
100000579,07/02/26 12:01,Angela Robles,"Vacuum Cleaner, Shampoo, Honey, Spinach",4,89.19,UPI,Houston,25,Spring,BOGO (Buy One Get One),Warehouse
100000580,28/05/22 23:19,David Weaver,"Honey, Chicken, Mustard, Soda",4,77.84,Debit Card,San Francisco,25,Spring,None,Warehouse
100000581,17/02/24 18:18,Judy Wagner,Light Bulbs,1,64.55,Debit Card,Los Angeles,25,Summer,Discount on Selected Items,Warehouse
100000582,22/04/23 23:00,Robert Sullivan,"Garden Hose, Light Bulbs, Paper Towels, Honey",4,113.15,Mobile Payment,New York,25,Summer,None,Warehouse
100000583,10/08/20 13:40,Elizabeth Perry,"Olive Oil, Toothpaste",2,38.38,Debit Card,Miami,25,Summer,BOGO (Buy One Get One),Warehouse
